image_path,class_label_x,attributes_x,caption_x,instance_id_x,Unnamed: 5_x,attr_color,attr_material,attr_condition,attributes_clean,class_label_y,attributes_y,caption_y,instance_id_y,Unnamed: 5_y,changed_class,split
images/team5_sneakers_D1.jpg,sneakers,color:white;material:fabric;condition:used;size:unknown,white shoes,TEAM5_SNEAKERS_D_1,,white,fabric,used,color:white;material:fabric;condition:used,sneakers,color:white;material:fabric;condition:used;size:unknown,white shoes,TEAM5_SNEAKERS_D_1,,sneakers,train
images\team14_water_bottle (64).jpg,tableware_water_bottle,color:transparent;material:plastic;condition:used;size:medium,PLASTIC waterbottle of MEDIUM size and used condition,TEAM14_TRANSPARENTBOTTLE_L,,transparent,plastic,used,color:transparent;material:plastic;condition:used,tableware_water_bottle,color:transparent;material:plastic;condition:used;size:medium,PLASTIC waterbottle of MEDIUM size and used condition,TEAM14_TRANSPARENTBOTTLE_L,,bottle,train
images/team11_usb_cable_002.jpg,usb_cable,color:black;material:plastic;condition:used,usb_cable image,,Team_11_usb_cable_usb_cable_002,black,plastic,used,color:black;material:plastic;condition:used,usb_cable,color:black;material:plastic;condition:used,usb_cable image,,Team_11_usb_cable_usb_cable_002,cable,train
images/Team1_toothbrush_A_1_421.jpg,toothbrush,color:purple;material:plastic;shape:irregular,purple and blue Colgate toothbrush on white background,Team1_toothbrush_A_1,,purple,plastic,unknown,color:purple;material:plastic;condition:unknown,toothbrush,color:purple;material:plastic;shape:irregular,purple and blue Colgate toothbrush on white background,Team1_toothbrush_A_1,,toothbrush,train
images/team10_electronics_accessories_keyboards_165.jpg,keyboard,color:black;material:plastic;condition:used;size:large,black plastic keyboard in used condition,TEAM10_KEY_X_1,,black,plastic,used,color:black;material:plastic;condition:used,keyboard,color:black;material:plastic;condition:used;size:large,black plastic keyboard in used condition,TEAM10_KEY_X_1,,keyboard,train
images\team14_pen (70).jpg,stationary_pen,color:blue;material:plastic;condition:used;size:medium,a used medium-sized blue plastic pen,TEAM14_BLUEPEN_AC,,blue,plastic,used,color:blue;material:plastic;condition:used,stationary_pen,color:blue;material:plastic;condition:used;size:medium,a used medium-sized blue plastic pen,TEAM14_BLUEPEN_AC,,pen,train
images\team14_wrist_watch (49).jpg,clothing_wrist_watch,color:unknown;material:rubber;condition:new;size:small,new small orange rubber smart watch from side,Team14_OrangeWatch_C,,unknown,rubber,new,color:unknown;material:rubber;condition:new,clothing_wrist_watch,color:unknown;material:rubber;condition:new;size:small,new small orange rubber smart watch from side,Team14_OrangeWatch_C,,watch,train
images/team23_water_bottle_047.jpg,water_bottle,"""color:black;material:plastic;condition:old""",,,TEAM23_WATER_BOTTLE_J_47,black,plastic,old,color:black;material:plastic;condition:old,water_bottle,"""color:black;material:plastic;condition:old""",,,TEAM23_WATER_BOTTLE_J_47,bottle,train
images/Team17_mouse_9_0.jpg,mouse,unknown,object photo,,Team17_mouse_9_1,unknown,unknown,unknown,color:unknown;material:unknown;condition:unknown,mouse,unknown,object photo,,Team17_mouse_9_1,mouse,train
images/team23_pen_051.jpg,pen,"""color:silver;material:plastic;condition:old""",Blue pen lies on a light surface.,,TEAM23_PEN_K_51,silver,plastic,old,color:silver;material:plastic;condition:old,pen,"""color:silver;material:plastic;condition:old""",Blue pen lies on a light surface.,,TEAM23_PEN_K_51,pen,train
images/Team15_pen_23.jpg,pen,color:blue;material:plastic;condition:used,blue pen without cap,,Team15_pen_23,blue,plastic,used,color:blue;material:plastic;condition:used,pen,color:blue;material:plastic;condition:used,blue pen without cap,,Team15_pen_23,pen,train
images/Team18_Personal_Care_shampoo_bottle_038.jpg,Personal_Care_shampoo_bottle,colour:purple;material:plastic;condition:used;size:medium,Purple plastic shampoo bottle with silver cap.,Team18_Shampoo_bottle_L_3,,purple,plastic,used,color:purple;material:plastic;condition:used,Personal_Care_shampoo_bottle,colour:purple;material:plastic;condition:used;size:medium,Purple plastic shampoo bottle with silver cap.,Team18_Shampoo_bottle_L_3,,shampoo,train
images/Team1_notebook_H_3_158.jpg,notebook,color:pink;material:paper;shape:rectangular,pink paper notebook on cardboard,Team1_notebook_H_3,,pink,paper,unknown,color:pink;material:paper;condition:unknown,notebook,color:pink;material:paper;shape:rectangular,pink paper notebook on cardboard,Team1_notebook_H_3,,notebook,train
images/Team18_Tools_screwdriver_036.jpg,Tools_screwdriver,color:multi-color;material:rubber;condition:used;size:medium,screwdriver on a box.,Team18_Tools_screwdriver_F_1,,multi-color,rubber,used,color:multi-color;material:rubber;condition:used,Tools_screwdriver,color:multi-color;material:rubber;condition:used;size:medium,screwdriver on a box.,Team18_Tools_screwdriver_F_1,,screwdriver,train
images/team10_Personal_Care_shampoo_bottle_514.jpg,shampoo_bottle,color:green;material:plastic;condition:used;size:large,green plastic shampoo_bottle in used condition,TEAM10_SHA_B_1,,green,plastic,used,color:green;material:plastic;condition:used,shampoo_bottle,color:green;material:plastic;condition:used;size:large,green plastic shampoo_bottle in used condition,TEAM10_SHA_B_1,,shampoo,train
images/Team17_clothing_watch_3_3.jpg,clothing_watch,unknown,object photo,,Team17_clothing_watch_3_4,unknown,unknown,unknown,color:unknown;material:unknown;condition:unknown,clothing_watch,unknown,object photo,,Team17_clothing_watch_3_4,watch,train
images/team25_slippers_33.jpg,footwear_slippers,"""color:white;material:rubber;condition:new;shape:elongated_oval","""yoho foam cross band slipper in white""",,slippers_G_3,white,rubber,new,color:white;material:rubber;condition:new,footwear_slippers,"""color:white;material:rubber;condition:new;shape:elongated_oval","""yoho foam cross band slipper in white""",,slippers_G_3,slippers,train
images/team3_pen_019.jpg,pen,color:white;material:plastic;pattern:plain;condition:new;features:with_cap,"A new white pen of plastic material with a plain pattern, with_cap .",team3_pen_4_4,,white,plastic,new,color:white;material:plastic;condition:new,pen,color:white;material:plastic;pattern:plain;condition:new;features:with_cap,"A new white pen of plastic material with a plain pattern, with_cap .",team3_pen_4_4,,pen,train
images\team14_water_bottle (92).jpg,tableware_water_bottle,color:silver;material:metal;condition:used;size:large,SILVER METAL waterbottle of LARGE size and used condition,TEAM14_SILVERBOTTLE_AB,,silver,metal,used,color:silver;material:metal;condition:used,tableware_water_bottle,color:silver;material:metal;condition:used;size:large,SILVER METAL waterbottle of LARGE size and used condition,TEAM14_SILVERBOTTLE_AB,,bottle,train
