Model,Class,Per-Class F1,Per-Class Accuracy
deit_tiny_patch16_224_best_pooled.pt,back,0.7273,0.6667
deit_tiny_patch16_224_best_pooled.pt,backpack,0.9006,0.9167
deit_tiny_patch16_224_best_pooled.pt,bottle,0.8822,0.8851
deit_tiny_patch16_224_best_pooled.pt,brush,0.8696,0.8333
deit_tiny_patch16_224_best_pooled.pt,cable,0.8276,1.0
deit_tiny_patch16_224_best_pooled.pt,calculator,0.88,0.9167
deit_tiny_patch16_224_best_pooled.pt,cap,0.88,0.9167
deit_tiny_patch16_224_best_pooled.pt,charger,0.8537,0.8333
deit_tiny_patch16_224_best_pooled.pt,clothespin,0.5833,0.5833
deit_tiny_patch16_224_best_pooled.pt,comb,0.9296,0.9429
deit_tiny_patch16_224_best_pooled.pt,container,0.9143,0.8889
deit_tiny_patch16_224_best_pooled.pt,cup,0.8,0.7778
deit_tiny_patch16_224_best_pooled.pt,deodorant,0.8571,0.75
deit_tiny_patch16_224_best_pooled.pt,earphones,0.8649,0.8421
deit_tiny_patch16_224_best_pooled.pt,footwear,0.8182,0.75
deit_tiny_patch16_224_best_pooled.pt,handbag,0.8333,0.8333
deit_tiny_patch16_224_best_pooled.pt,hanger,0.9231,1.0
deit_tiny_patch16_224_best_pooled.pt,headphones,0.7273,0.6667
deit_tiny_patch16_224_best_pooled.pt,kettle,0.8235,0.875
deit_tiny_patch16_224_best_pooled.pt,keyboard,0.912,0.95
deit_tiny_patch16_224_best_pooled.pt,lipstick,0.8696,0.8333
deit_tiny_patch16_224_best_pooled.pt,lotion,0.7368,0.5833
deit_tiny_patch16_224_best_pooled.pt,lunchbox,0.8,0.75
deit_tiny_patch16_224_best_pooled.pt,mouse,0.8785,0.8785
deit_tiny_patch16_224_best_pooled.pt,mug,0.8687,0.8958
deit_tiny_patch16_224_best_pooled.pt,notebook,0.9366,0.932
deit_tiny_patch16_224_best_pooled.pt,paintbrush,0.96,1.0
deit_tiny_patch16_224_best_pooled.pt,pen,0.9313,0.9141
deit_tiny_patch16_224_best_pooled.pt,pencil,0.9167,1.0
deit_tiny_patch16_224_best_pooled.pt,pill,0.6667,0.5
deit_tiny_patch16_224_best_pooled.pt,plate,0.8333,0.8333
deit_tiny_patch16_224_best_pooled.pt,powerbank,0.8,0.8
deit_tiny_patch16_224_best_pooled.pt,scissors,0.8571,0.75
deit_tiny_patch16_224_best_pooled.pt,screwdriver,0.9091,0.9091
deit_tiny_patch16_224_best_pooled.pt,shampoo,0.8555,0.8315
deit_tiny_patch16_224_best_pooled.pt,sharpener,0.88,0.9167
deit_tiny_patch16_224_best_pooled.pt,shoes,1.0,1.0
deit_tiny_patch16_224_best_pooled.pt,shuttlecock,0.9167,0.9167
deit_tiny_patch16_224_best_pooled.pt,slippers,0.8872,0.9219
deit_tiny_patch16_224_best_pooled.pt,sneakers,0.9469,0.9667
deit_tiny_patch16_224_best_pooled.pt,soap,0.931,0.9643
deit_tiny_patch16_224_best_pooled.pt,spectacles,1.0,1.0
deit_tiny_patch16_224_best_pooled.pt,strip,0.875,0.875
deit_tiny_patch16_224_best_pooled.pt,suitcase,0.9388,0.9583
deit_tiny_patch16_224_best_pooled.pt,tennisball,1.0,1.0
deit_tiny_patch16_224_best_pooled.pt,toothbrush,0.8742,0.88
deit_tiny_patch16_224_best_pooled.pt,toothpaste,0.8824,0.9184
deit_tiny_patch16_224_best_pooled.pt,umbrella,0.6957,0.6667
deit_tiny_patch16_224_best_pooled.pt,wallet,0.8376,0.8167
deit_tiny_patch16_224_best_pooled.pt,watch,0.931,0.9391
mobilevit_xxs_best_pooled.pt,back,0.0,0.0
mobilevit_xxs_best_pooled.pt,backpack,0.8889,0.9524
mobilevit_xxs_best_pooled.pt,bottle,0.8442,0.8784
mobilevit_xxs_best_pooled.pt,brush,0.7,0.5833
mobilevit_xxs_best_pooled.pt,cable,0.6667,0.6667
mobilevit_xxs_best_pooled.pt,calculator,0.8261,0.7917
mobilevit_xxs_best_pooled.pt,cap,0.8611,0.8611
mobilevit_xxs_best_pooled.pt,charger,0.7895,0.7143
mobilevit_xxs_best_pooled.pt,clothespin,0.1538,0.0833
mobilevit_xxs_best_pooled.pt,comb,0.8732,0.8857
mobilevit_xxs_best_pooled.pt,container,0.75,0.75
mobilevit_xxs_best_pooled.pt,cup,0.1429,0.0833
mobilevit_xxs_best_pooled.pt,deodorant,0.0,0.0
mobilevit_xxs_best_pooled.pt,earphones,0.6951,0.75
mobilevit_xxs_best_pooled.pt,footwear,0.0,0.0
mobilevit_xxs_best_pooled.pt,handbag,0.4706,0.3333
mobilevit_xxs_best_pooled.pt,hanger,0.8333,0.8333
mobilevit_xxs_best_pooled.pt,headphones,0.0,0.0
mobilevit_xxs_best_pooled.pt,kettle,0.6522,0.625
mobilevit_xxs_best_pooled.pt,keyboard,0.9268,0.95
mobilevit_xxs_best_pooled.pt,lipstick,0.0,0.0
mobilevit_xxs_best_pooled.pt,lotion,0.1538,0.0833
mobilevit_xxs_best_pooled.pt,lunchbox,0.6,0.5
mobilevit_xxs_best_pooled.pt,mouse,0.8621,0.9346
mobilevit_xxs_best_pooled.pt,mug,0.6515,0.8958
mobilevit_xxs_best_pooled.pt,notebook,0.8995,0.9126
mobilevit_xxs_best_pooled.pt,paintbrush,0.6667,0.5833
mobilevit_xxs_best_pooled.pt,pen,0.8785,0.865
mobilevit_xxs_best_pooled.pt,pencil,0.7059,0.8182
mobilevit_xxs_best_pooled.pt,pill,0.0,0.0
mobilevit_xxs_best_pooled.pt,plate,0.8182,0.75
mobilevit_xxs_best_pooled.pt,powerbank,0.2353,0.2
mobilevit_xxs_best_pooled.pt,scissors,0.75,0.75
mobilevit_xxs_best_pooled.pt,screwdriver,0.7368,0.6364
mobilevit_xxs_best_pooled.pt,shampoo,0.6806,0.7303
mobilevit_xxs_best_pooled.pt,sharpener,0.5833,0.5833
mobilevit_xxs_best_pooled.pt,shoes,0.9167,0.9167
mobilevit_xxs_best_pooled.pt,shuttlecock,0.7619,0.6667
mobilevit_xxs_best_pooled.pt,slippers,0.7591,0.8125
mobilevit_xxs_best_pooled.pt,sneakers,0.8889,0.9333
